participant,technique,movement,clustering,conditionIndex,techBlock,trialNumber,time_ms,errorClickCount,clickX,clickY,targetX,targetY,distanceToCenter_px,normalizedDistance,clickedInsideTarget,amplitude_px,targetRadius,targetVx_px_per_s,targetVy_px_per_s,targetSpeed_px_per_s,shannon_id_bits
1,POINT,FAST,HIGH,6,1,13.0,1344,1,454.0,163.0,472.0,170.0,19.37,0.842,True,224.81,22.992308361514873,-118.09,-70.68,137.63,2.557975838194376
1,POINT,FAST,HIGH,6,1,14.0,2171,2,331.0,206.0,323.6,206.4,7.44,0.476,True,152.86,15.632010963236487,-45.57,-114.07,122.83,2.5581025722919777
1,POINT,FAST,HIGH,6,1,15.0,1021,0,563.0,491.0,565.2,501.0,10.26,0.546,True,381.0,18.791448557930902,-50.38,-84.63,98.49,3.4773651779297508
1,POINT,FAST,HIGH,6,1,16.0,815,0,321.0,92.0,340.1,107.1,24.33,0.905,True,453.73,26.87861615325186,-88.52,-6.52,88.76,3.2388407585722745
1,POINT,FAST,HIGH,6,1,17.0,830,0,315.0,411.0,313.1,400.0,11.14,0.934,True,294.22,11.917740260686802,41.86,-175.42,180.34,3.7380958308711176
1,POINT,FAST,HIGH,6,1,18.0,1058,1,75.0,283.0,71.5,283.8,3.56,0.294,True,268.04,12.096466567312751,119.19,75.5,141.09,3.594461175153606
1,POINT,FAST,HIGH,6,1,19.0,853,0,63.0,242.0,70.2,237.3,8.59,0.664,True,46.51,12.933207823096133,-4.95,-161.38,161.46,1.4844395106314576
1,POINT,FAST,HIGH,6,1,20.0,1800,3,329.0,187.0,301.8,181.9,27.73,0.956,True,238.09,28.991456735664933,-66.54,121.02,138.11,2.3522527786163496
1,POINT,FAST,LOW,7,1,1.0,909,0,577.0,76.0,578.4,80.4,4.65,0.428,True,,10.862624947936194,52.93,123.87,134.7,
1,POINT,FAST,LOW,7,1,2.0,2926,3,30.0,31.0,44.0,30.2,13.99,0.8,True,536.83,17.476496510465246,97.8,30.01,102.3,4.031979805604801
1,POINT,FAST,LOW,7,1,3.0,698,0,411.0,351.0,411.1,340.1,10.9,0.53,True,480.47,20.55689695153512,97.77,-95.25,136.5,3.6652046320548153
1,POINT,FAST,LOW,7,1,4.0,1220,2,123.0,171.0,109.3,163.4,15.66,0.846,True,349.74,18.516645185392417,-33.11,-126.27,130.54,3.3845935268924414
